name,investmentFundType,riskRating,ocfTer,fmec,additionalCharge
Aviva Pension My Future Focus Consolidation FP,Mixed assets,2,0.1,,
Aviva Pension My Future Focus Consolidation XE,Mixed assets,2,0.1,,
Aviva Pension My Future Focus Drawdown FP,Mixed assets,3,0.1,,
Aviva Pension My Future Focus Drawdown XE,Mixed assets,3,0,,
Aviva Pension My Future Focus Growth FP,Mixed assets,4,0.1,,
Aviva Pension My Future Focus Growth XE,Mixed assets,4,0,,
Aviva Pension My Future Focus Long Term Growth FP,Mixed assets,5,0.1,,
Aviva Pension My Future Focus Long Term Growth XE,Mixed assets,5,0.1,,
Aviva Pension My Future Growth AP,Mixed assets,4,0,,
Aviva Pension My Future Growth FP,Mixed assets,4,0,,
Aviva Pension My Future Growth IE/XE,Mixed assets,4,0,,
Aviva Pension Ninety One Global Income Opportunities AP,Mixed assets,4,0,,
Aviva Pension Ninety One Global Income Opportunities EP / EP S1,Mixed assets,4,0,,
Aviva Pension Ninety One Global Income Opportunities EP S3,Mixed assets,4,0,,
Aviva Pension Ninety One Global Income Opportunities FP,Mixed assets,4,0.73,,
Aviva Pension Ninety One Global Income Opportunities IE/XE,Mixed assets,4,0,,
Aviva Pension Ninety One UK Special Situations EP / EP S1,Equities,7,0,,
Aviva Pension Ninety One UK Special Situations EP S3,Equities,7,0,,
Aviva Pension North America Equities AP,Equities,6,0,,
Aviva Pension North America Equities AP / XE,Equities,6,0,,
Aviva Pension North American FP,Equities,6,0,,
Aviva Pension North American FPP,Equities,6,0,,
Aviva Pension North American NMP,Equities,6,0,,
Aviva Pension Overseas (AP) EP,Equities,5,0,,
Aviva Pension Overseas AP,Equities,5,0,,
Aviva Pension Overseas AP / XE,Equities,5,0,,
Aviva Pension Overseas EP S3,Equities,5,0,,
Aviva Pension Pacific Basin FP,Equities,6,0,,
Aviva Pension Pacific Basin FPP,Equities,6,0,,
Aviva Pension Phoenix Wealth Elite Balanced Managed EP / EP S1,Mixed assets,4,0,,
Aviva Pension Phoenix Wealth Elite Balanced Managed EP S3,Mixed assets,4,0,,
Aviva Pension Phoenix Wealth Elite Balanced Managed IE/XE,Mixed assets,4,0,,
Aviva Pension Phoenix Wealth Elite Cautious Managed EP / EP S1,Mixed assets,3,0,,
Aviva Pension Phoenix Wealth Elite Cautious Managed EP S3,Mixed assets,3,0,,
Aviva Pension Phoenix Wealth Elite Cautious Managed IE/XE,Mixed assets,3,0,,
Aviva Pension Phoenix Wealth Elite Defensive Managed EP / EP S1,Mixed assets,3,0,,
Aviva Pension Phoenix Wealth Elite Defensive Managed EP S3,Mixed assets,3,0,,
Aviva Pension Phoenix Wealth Elite Defensive Managed IE/XE,Mixed assets,3,0,,
Aviva Pension Phoenix Wealth Elite Global Equity IE/XE,Equities,5,0,,
Aviva Pension Phoenix Wealth Elite Stockmarket Managed EP / EP S1,Mixed assets,5,0,,
Aviva Pension Phoenix Wealth Elite Stockmarket Managed EP S2,Mixed assets,5,0,,
Aviva Pension Phoenix Wealth Elite Stockmarket Managed EP S3,Mixed assets,5,0,,
Aviva Pension Phoenix Wealth Elite Stockmarket Managed IE/XE,Mixed assets,5,0,,
Aviva Pension Premier Miton Responsible UK Equity EP / IE / XE,Equities  Ethical,7,0,,
Aviva Pension Premier Miton UK Growth EP / EP S1 / IE / XE,Equities,7,0,,
Aviva Pension Pre-retirement Fixed Interest FP,Corporate bonds,4,0,,
Aviva Pension Pre-retirement Fixed Interest LMP / FPP,Corporate bonds,5,0,,
Aviva Pension Property AP,Property,4,0,,
Aviva Pension Property AP / XE,Property,4,0,,
Aviva Pension Property EP,Property,4,0,,
Aviva Pension Property FP,Property,4,0,,
Aviva Pension Property LMP / FPP,Property,4,0,,
Aviva Pension Property NMP,Property,4,0,,
Aviva Pension Rainbow Equity Inv I EP,Equities,6,0,,
Aviva Pension Rainbow Equity Inv II EP,Equities,6,0,,
Aviva Pension Rainbow Managed Inv I EP,Mixed assets,4,0,,
Aviva Pension Rainbow Managed Inv II EP,Mixed assets,4,0,,
Aviva Pension Reserve AP,Mixed assets,2,0,,
Aviva Pension Reserve AP / XE,Mixed assets,2,0,,
Aviva Pension Retirement Distribution AP,Mixed assets,4,0,,
Aviva Pension Retirement Distribution AP / XE,Mixed assets,4,0,,
Aviva Pension Sarasin IE Multi Asset - Dynamic AP,Mixed assets,4,0,,
Aviva Pension Sarasin Thematic Global Equity AP,Equities,6,0,,
Aviva Pension Schroder Diversified Growth EP,Mixed assets,3,0,,
Aviva Pension Schroder Diversified Growth FP,Mixed assets,3,0.56,,
Aviva Pension Schroder Diversified Growth IE/XE,Mixed assets,3,0,,
Aviva Pension Schroder Global Cities Real Estate AP,Equities  Property,6,0,,
Aviva Pension Schroder Global Cities Real Estate EP / EP S1,Equities  Property,6,0,,
Aviva Pension Schroder Global Cities Real Estate EP S3,Equities  Property,6,0,,
Aviva Pension Schroder Global Cities Real Estate IE/XE,Equities  Property,6,0,,
Aviva Pension Schroder Institutional UK Smaller Companies IE/XE,Equities,7,0,,
Aviva Pension Schroder Managed Balanced NMP,Mixed assets,4,0,,
Aviva Pension Schroder Managed EP,Mixed assets,4,0,,
Aviva Pension Schroder Managed EP S1,Mixed assets,4,0,,
Aviva Pension Schroder Managed EP S2,Mixed assets,4,0,,
Aviva Pension Schroder Managed EP S3,Mixed assets,4,0,,
Aviva Pension Schroder Managed IE/XE,Mixed assets,4,0,,
Aviva Pension Schroder Sustainable Future Multi Asset FP,Mixed assets  Ethical,4,0.3,,
Aviva Pension Schroder Sustainable Future Multi Asset XE,Mixed assets  Ethical,4,0,,
Aviva Pension Schroder Tokyo AP,Equities,6,0,,
Aviva Pension Schroder Tokyo EP / EP S1,Equities,6,0,,
Aviva Pension Schroder Tokyo EP S3,Equities,6,0,,
Aviva Pension Schroder Tokyo FP,Equities,6,0.85,,
Aviva Pension Schroder Tokyo IE/XE,Equities,6,0,,
Aviva Pension Schroder UK Smaller Companies EP / EP S1,Equities,7,0,,
Aviva Pension Schroder UK Smaller Companies EP S3,Equities,7,0,,
Aviva Pension Schroder US Mid Cap AP,Equities,7,0,,
Aviva Pension Schroder US Mid Cap EP / EP S1,Equities,7,0,,
Aviva Pension Schroder US Mid Cap EP S3,Equities,7,0,,
Aviva Pension Sterling Corporate Bond AP,Corporate bonds,2,0,,
Aviva Pension Stewart Investors Asia Pacific Leaders Sustainability AP,Equities,5,0,,
Aviva Pension Stewart Investors Asia Pacific Leaders Sustainability EP / EP S1,Equities,5,0,,
Aviva Pension Stewart Investors Asia Pacific Leaders Sustainability EP S3,Equities,5,0,,
Aviva Pension Stewart Investors Asia Pacific Leaders Sustainability FP,Equities,5,0.79,,
Aviva Pension Stewart Investors Asia Pacific Leaders Sustainability IE/XE,Equities,5,0,,
Aviva Pension Sustainable Stewardship Bond AP,Corporate bonds  Global bonds  Ethical,3,0,,
Aviva Pension Sustainable Stewardship Bond EP,Corporate bonds  Global bonds  Ethical,3,0,,
Aviva Pension Sustainable Stewardship Bond FP,Corporate bonds  Ethical,3,0.02,,
Aviva Pension Sustainable Stewardship Bond FPP,Corporate bonds  Ethical,3,0,,
Aviva Pension Sustainable Stewardship Bond XE,Corporate bonds  Global bonds  Ethical,3,0,,
Aviva Pension Sustainable Stewardship International Equity AP,Equities  Ethical,5,0,,
Aviva Pension Sustainable Stewardship International Equity EP,Equities  Ethical  Mixed assets,5,0,,
Aviva Pension Sustainable Stewardship International Equity FP,Equities  Ethical,5,0.02,,
Aviva Pension Sustainable Stewardship International Equity FPP,Equities  Ethical,5,0,,
Aviva Pension Sustainable Stewardship International Equity XE,Equities  Ethical  Mixed assets,5,0,,
Aviva Pension Sustainable Stewardship Managed AP,Mixed asset  Ethical,4,0,,
Aviva Pension Sustainable Stewardship Managed EP,Equities  Ethical  Mixed assets,4,0,,
Aviva Pension Sustainable Stewardship Managed FP,Mixed asset  Ethical,4,0,,
Aviva Pension Sustainable Stewardship Managed FPP,Mixed asset  Ethical,4,0,,
Aviva Pension Sustainable Stewardship Managed XE,Equities  Ethical  Mixed assets,4,0,,
Aviva Pension Sustainable Stewardship UK Equity AP,Equities  Ethical,6,0,,
Aviva Pension Sustainable Stewardship UK Equity EP,Equities  Ethical  Cash/Money market,6,0,,
Aviva Pension Sustainable Stewardship UK Equity FP,Equities  Ethical,6,0,,
Aviva Pension Sustainable Stewardship UK Equity FPP,Equities  Ethical,6,0,,
Aviva Pension Sustainable Stewardship UK Equity Income AP,Equities  Ethical,6,0,,
Aviva Pension Sustainable Stewardship UK Equity Income EP,Equities  Ethical  Cash/Money market,6,0,,
Aviva Pension Sustainable Stewardship UK Equity Income FP,Equities  Ethical,6,0,,
Aviva Pension Sustainable Stewardship UK Equity Income XE,Equities  Ethical  Cash/Money market,6,0,,
Aviva Pension Sustainable Stewardship UK Equity NMP,Equities  Ethical,6,0,,
Aviva Pension Sustainable Stewardship UK Equity XE,Equities  Ethical  Cash/Money market,6,0,,
Aviva Pension Tokyo NMP,Equities,6,0,,
Aviva Pension UK Equity AP,Equities,6,0,,
Aviva Pension UK Equity AP / XE,Equities,6,0,,
Aviva Pension UK Equity FP,Equities,6,0,,
Aviva Pension UK Equity LMP / FPP,Equities,6,0,,
Aviva Pension UK Equity NMP,Equities,6,0,,
Aviva Pension UK Index Tracking FPP,Equities  Tracker,6,0,,
Aviva Pension UK Listed Equity Income AP,Equities,6,0,,
Aviva Pension UK Listed Equity Income FP,Equities,6,0.29,,
Aviva Pension UK Listed Equity Income XE,Equities,6,0,,
Aviva Pension UK Smaller Companies FP,Equities,7,0,,
Aviva Pension UK Tracker AP,Equities  Tracker,5,0,,
Aviva Pension UK Tracker AP / XE,Equities  Tracker,5,0,,
Aviva Pension Unit EP,Mixed assets,4,0,,
Aviva Pension Unity Managed 3 EP,Mixed assets,4,0,,
Aviva Pension Unity Managed EP,Mixed assets,4,0,,
Aviva Pension Vanguard FTSE Developed World ex-UK FP,Equities  Tracker,6,0.08,,
Aviva Pension Vanguard FTSE Developed World ex-UK XE,Equities  Tracker,6,0.08,,
Aviva Pension Vanguard FTSE UK All Share Index FP,Equities  Tracker,5,0.05,,
Aviva Pension Vanguard FTSE UK All Share Index XE,Equities  Tracker,5,0.05,,
Aviva Pension Vanguard Global Corporate Bond Index FP,Corporate bonds  Tracker,3,0.12,,
Aviva Pension Vanguard Global Corporate Bond Index XE,Corporate bonds  Tracker,3,0.12,,
Aviva Pension Vanguard US Equity Index FP,Equities  Tracker,6,0.06,,
Aviva Pension Vanguard US Equity Index XE,Equities  Tracker,6,0.06,,
Aviva SPS Artemis UK Special Situations,Equities,6,0.87,0.12,0.75
Aviva SPS Aviva Fixed Income,Corporate bonds  Gilts  Global bonds,4,0.12,0,0.12
Aviva SPS Aviva Investors Index-Linked Gilt,Gilts,5,0.14,0.04,0.1
Aviva SPS Aviva Investors Money Market,Cash/Money market,1,0.05,0,0.05
Aviva SPS Aviva Investors Property,Property,4,0.21,0.01,0.2
Aviva SPS BlackRock Emerging Markets Index Tracker,Equities  Tracker,7,0.28,0.08,0.2
Aviva SPS BlackRock European Equity Index Tracker,Equities  Tracker,6,0.12,0,0.12
Aviva SPS BlackRock Japanese Equity Index Tracker,Equities  Tracker,6,0.12,0,0.12
Aviva SPS BlackRock Over 5 yrs Index-Linked Gilt Tracker,Gilts  Tracker,5,0.12,0,0.12
Aviva SPS BlackRock Pacific Rim Equity Index Tracker,Equities  Tracker,7,0.12,0,0.12
Aviva SPS BlackRock UK Equity Index Tracker,Equities  Tracker,5,0.12,0,0.12
Aviva SPS BlackRock US Equity Index Tracker,Equities  Tracker,6,0.12,0,0.12
Aviva SPS Consolidated,Mixed assets,3,0.35,0,0.35
Aviva SPS Diversified,Mixed assets,4,0.37,0,0.37
Aviva SPS Emerging Market Equity Active,Equties,7,1,0.23,0.77
Aviva SPS Global Equity Passive,Equities  Ethical,6,0.1,0.03,0.07
Aviva SPS Growth,Equities,5,0.19,0,0.19
Aviva SPS HSBC Islamic Global Equity Index,Equities  Tracker,6,0.3,0,0.3
Aviva SPS Liontrust Sustainable Future Managed,Mixed assets  Ethical,5,0.37,0.07,0.3
Aviva SPS Ninety One Emerging Markets Local Currency Debt,Global bonds,4,0.98,0.23,0.75
Aviva SPS Progressive Global Equity Active,Equities,5,0.6,0.07,0.53
Aviva SPS Robeco Multi-Factor Credits,Corporate bonds  Global bonds,3,0.27,0.13,0.14
Group Managed GM Cash Pension AP,Cash/Money market,1,0.06,0.01,0.05
Group Managed GM European Equity Pension AP,Equities,6,0.45,0.05,0.4
Group Managed GM Mixed Pension AP,Mixed assets,4,0.36,0.06,0.3
Group Managed GM North America Equity Pension AP,Equities,6,0.42,0.02,0.4
Group Managed GM Overseas Equity Pension AP,Equities,5,0.45,0.05,0.4
Group Managed GM Property Pension AP,Property,4,0.6,0,0.6
Group Managed GM Sterling Bond Pension AP,Corporate bonds,3,0.27,0.02,0.25
Group Managed GM Sterling Index-Linked Pension AP,Gilts,5,0.22,0.02,0.2
Group Managed GM UK Equity Pension AP,Equities,6,0.36,0.01,0.35
RAC (2003) Pension Scheme Artemis UK Special Situations,Equities,6,0.87,0.12,0.75
RAC (2003) Pension Scheme Aviva Diversified Growth Portfolio,Mixed assets,4,0.27,0.07,0.2
RAC (2003) Pension Scheme Aviva Fixed Income,Corporate bonds  Gilts  Global bonds,4,0.12,0,0.12
RAC (2003) Pension Scheme Aviva Global Equity Passive,Equities  Ethical,6,0.14,0.01,0.13
RAC (2003) Pension Scheme Aviva Investors Money Market,Cash/Money market,1,0.05,0,0.05
RAC (2003) Pension Scheme Aviva Investors Property,Property,4,0.21,0.01,0.2
RAC (2003) Pension Scheme Blackrock Over 5 Yrs Index-Linked Gilt Tracker,Gilts  Tracker,5,0.12,0,0.12
RAC (2003) Pension Scheme Blackrock UK Equity Index Tracker,Equities  Tracker,5,0.12,0,0.12
RAC (2003) Pension Scheme Emerging Market Equity Active,Equities,7,1,0.23,0.77
RAC (2003) Pension Scheme Global Equity Active,Equities,5,0.56,0.03,0.53
RAC (2003) Pension Scheme HSBC Islamic Global Equity Index,Equities  Tracker,6,0.3,0,0.3
RAC (2003) Pension Scheme Real Assets,Property,4,0.77,0.1,0.67
RAC (2003) Pension Scheme Robeco Multi-Factor Credits,Corporate bonds  Global bonds,3,0.27,0.13,0.14
RAC (2003) Pension Scheme Sustainable Bond,Mixed assets  Ethical,3,0.29,0.07,0.22
